1 3 1 0 50 0 2050 16.1369
2 2 1 1 100 0 2150 9.45838
3 2 2 1 100 0 2250 9.09369
4 4 1 1 50 0 2300 9.18746
5 1 1 0 100 0 2400 4.93713
6 2 3 0 100 0 2500 5.30961
7 2 4 1 100 0 2600 5.97936
8 2 5 0 100 0 2700 4.47237
9 2 6 1 100 0 2800 5.36614
10 2 7 0 100 0 2900 7.3051
11 2 8 0 100 0 3000 4.5589
12 1 2 0 100 0 3100 6.46466
13 2 9 1 100 -1250 1950 11.4275
14 2 10 0 100 0 2050 7.199
15 2 11 1 100 0 2150 5.5705
16 1 3 1 100 -150 2100 5.95644
17 2 12 1 100 0 2200 6.20498
18 2 13 0 100 0 2300 6.63329
19 2 14 1 100 -1250 1150 6.63671
20 3 2 0 50 0 1200 4.80102
21 4 2 0 50 0 1250 6.34817
22 2 15 0 100 0 1350 4.37687
23 1 4 0 100 0 1450 5.72472
24 1 5 1 100 -300 1250 5.90976
25 2 16 1 100 0 1350 4.8851
26 1 6 0 100 0 1450 5.399
27 2 17 1 100 0 1550 8.87888
28 3 3 1 50 -50 1550 9.27553
29 2 18 0 100 0 1650 5.79689
30 2 19 0 100 0 1750 5.93938
31 1 7 1 100 -200 1650 4.65274
32 2 20 0 100 0 1750 6.31408
33 1 8 0 100 0 1850 5.89823
34 2 21 1 100 -1250 700 9.53318
35 3 4 0 50 0 750 6.12031
36 4 3 1 50 0 800 4.49506
37 1 9 1 100 -250 650 4.65236
38 3 5 1 50 -50 650 7.35307
39 2 22 0 100 0 750 6.1446
40 4 4 0 50 0 800 13.9545
41 2 23 1 100 0 900 5.73841
42 1 10 1 100 -350 650 7.34653
43 2 24 1 100 0 750 5.1852
44 2 25 0 100 0 850 5.44881
45 3 6 0 50 0 900 6.23234
46 4 5 0 50 0 950 5.71381
47 3 7 1 50 -50 950 7.96913
48 2 26 1 100 0 1050 4.28628
49 1 11 0 100 0 1150 5.38652
50 3 8 0 50 0 1200 4.82514
51 1 12 1 100 -350 950 6.43478
52 2 27 0 100 0 1050 7.63958
53 2 28 1 100 0 1150 10.4357
54 4 6 1 50 0 1200 9.42874
55 1 13 0 100 0 1300 5.7211
56 2 29 0 100 0 1400 7.99703
57 2 30 0 100 0 1500 7.70791
58 3 9 1 50 -50 1500 16.8633
59 2 31 1 100 0 1600 6.44096
60 1 14 1 100 -250 1450 4.31573
61 2 32 1 100 -1250 300 16.2298
62 3 10 1 50 -50 300 4.81861
63 4 7 1 50 0 350 4.80147
64 4 8 0 50 0 400 4.43385
65 1 15 1 100 -200 300 4.91491
66 2 33 0 100 0 400 5.5843
67 3 11 0 50 0 450 6.92035
68 4 9 0 50 0 500 10.9405
69 4 10 1 50 -250 300 9.77264
70 2 34 1 100 0 400 5.17621
71 1 16 0 100 0 500 5.11116
72 3 12 1 50 -25 525 9.66519
73 2 35 0 100 0 625 4.99111
74 3 13 1 50 -75 600 14.8466
75 4 11 1 50 0 650 7.80136
76 1 17 1 100 -300 450 6.09028
77 2 36 1 100 0 550 5.53178
78 2 37 0 100 0 650 12.2454
79 2 38 1 100 0 750 7.89011
80 4 12 1 50 0 800 5.36801
81 1 18 1 100 -150 750 7.37768
82 3 14 0 50 0 800 6.00599
83 4 13 0 50 0 850 7.88279
84 3 15 0 50 0 900 4.55943
85 2 39 0 100 0 1000 5.52742
86 4 14 0 50 0 1050 6.54587
87 1 19 0 100 0 1150 7.15158
88 3 16 0 50 0 1200 6.36698
89 3 17 1 50 -25 1225 5.79652
90 2 40 0 100 0 1325 4.94389
91 4 15 1 50 0 1375 7.52353
92 4 16 0 50 0 1425 6.059
93 1 20 0 100 0 1525 3.79192
94 3 18 1 50 -75 1500 7.07062
95 4 17 0 50 0 1550 6.06227
96 1 21 0 100 0 1650 5.4347
97 3 19 0 50 0 1700 7.15001
98 1 22 1 100 -300 1500 9.12043
99 4 18 0 50 0 1550 6.19164
100 3 20 1 50 -50 1550 251.363
