1 1 1 0 100 0 2100 33.5788
2 2 1 1 100 0 2200 5.72167
3 3 1 0 50 0 2250 6.21343
4 4 1 1 50 0 2300 6.44782
5 1 2 0 100 0 2400 5.54614
6 1 3 1 100 -150 2350 5.07825
7 1 4 0 100 0 2450 5.73394
8 1 5 1 100 -300 2250 3.6994
9 1 6 0 100 0 2350 3.21583
10 1 7 1 100 -200 2250 4.68123
11 1 8 0 100 0 2350 5.16163
12 1 9 1 100 -250 2200 6.8401
13 1 10 1 100 -350 1950 9.31281
14 2 2 1 100 0 2050 5.1577
15 2 3 0 100 0 2150 4.09225
16 2 4 1 100 0 2250 2.87983
17 2 5 0 100 0 2350 3.34455
18 2 6 1 100 0 2450 2.96777
19 2 7 0 100 0 2550 3.01642
20 2 8 0 100 0 2650 3.06901
21 2 9 1 100 -1250 1500 2.69815
22 3 2 0 50 0 1550 12.3843
23 3 3 1 50 -50 1550 7.72728
24 4 2 0 50 0 1600 11.3114
25 1 11 0 100 0 1700 5.93872
26 1 12 1 100 -350 1450 4.10794
27 2 10 0 100 0 1550 3.38969
28 2 11 1 100 0 1650 2.9124
29 2 12 1 100 0 1750 3.84105
30 2 13 0 100 0 1850 3.73813
31 2 14 1 100 -1250 700 3.90065
32 3 4 0 50 0 750 4.48348
33 1 13 0 100 0 850 6.52804
34 1 14 1 100 -250 700 4.92283
35 1 15 1 100 -200 600 7.27153
36 4 3 1 50 0 650 7.60704
37 2 15 0 100 0 750 5.02917
38 3 5 1 50 -50 750 5.27005
39 2 16 1 100 0 850 4.04132
40 1 16 0 100 0 950 5.03135
41 2 17 1 100 0 1050 3.79548
42 1 17 1 100 -300 850 3.89193
43 1 18 1 100 -150 800 3.87481
44 1 19 0 100 0 900 3.91061
45 1 20 0 100 0 1000 3.73512
46 2 18 0 100 0 1100 4.90373
47 3 6 0 50 0 1150 4.79021
48 4 4 0 50 0 1200 5.60286
49 1 21 0 100 0 1300 4.06287
50 2 19 0 100 0 1400 3.78978
51 3 7 1 50 -50 1400 4.3428
52 4 5 0 50 0 1450 5.8443
53 1 22 1 100 -300 1250 4.80194
54 2 20 0 100 0 1350 3.17357
55 3 8 0 50 0 1400 5.40705
56 4 6 1 50 0 1450 6.11546
57 2 21 1 100 -1250 300 6.25864
58 1 23 0 100 0 400 4.99275
59 3 9 1 50 -50 400 6.98929
60 2 22 0 100 0 500 5.14796
61 4 7 1 50 0 550 8.96074
62 1 24 1 100 -350 300 4.43239
63 2 23 1 100 0 400 4.07893
64 4 8 0 50 0 450 7.87195
65 1 25 0 100 0 550 6.07828
66 2 24 1 100 0 650 4.35844
67 3 10 1 50 -50 650 4.65595
68 1 26 1 100 -200 550 10.3015
69 2 25 0 100 0 650 4.97761
70 3 11 0 50 0 700 4.42081
71 4 9 0 50 0 750 6.08013
72 2 26 1 100 0 850 4.80067
73 1 27 1 100 -250 700 4.59896
74 3 12 1 50 -25 725 8.11111
75 2 27 0 100 0 825 4.17933
76 2 28 1 100 0 925 5.09391
77 2 29 0 100 0 1025 4.48082
78 2 30 0 100 0 1125 3.30122
79 2 31 1 100 0 1225 3.32731
80 2 32 1 100 -1250 75 5.53089
81 3 13 1 50 -75 50 8.38987
82 4 10 1 50 -250 -150 10.4701
83 2 33 0 100 0 -50 4.98966
84 3 14 0 50 0 0 4.83418
85 2 34 1 100 0 100 4.98392
86 3 15 0 50 0 150 4.99951
87 1 28 1 100 -150 100 5.42493
88 2 35 0 100 0 200 5.67807
89 3 16 0 50 0 250 4.62985
90 4 11 1 50 0 300 6.08903
91 3 17 1 50 -25 325 4.85766
92 2 36 1 100 0 425 5.15215
93 1 29 0 100 0 525 5.35216
94 4 12 1 50 0 575 6.49164
95 1 30 0 100 0 675 6.66033
96 1 31 1 100 -350 425 6.29068
97 2 37 0 100 0 525 4.36119
98 2 38 1 100 0 625 3.31744
99 3 18 1 50 -75 600 3.81532
100 2 39 0 100 0 700 4.33035
