2 4 6 6 8.15243
2 5 7 5 2.5388
2 3 4 3 13.1792
2 4 8 8 4.09773
2 4 9 9 2.41032
2 1 7 1 2.60234
2 7 11 11 7.95464
2 1 4 1 1.44203
2 2 7 7 3.93075
2 1 12 1 1.23361
2 7 10 10 1.82723
2 3 12 12 6.71438
2 5 12 5 1.83368
2 8 12 8 2.84292
2 9 11 9 0.737601
2 6 12 12 2.42616
2 4 7 4 2.73057
2 1 8 1 0.673867
2 4 12 4 1.66731
2 8 10 8 0.843159
2 5 9 5 1.0351
2 3 10 10 1.8188
2 2 8 8 1.19535
2 5 8 5 1.00281
2 6 8 8 1.51471
2 2 5 5 1.27552
2 6 7 7 2.89906
2 7 12 7 1.10721
2 9 12 9 2.28319
2 1 9 1 1.19467
2 8 11 11 1.00998
2 1 6 1 1.06625
2 6 9 9 7.15437
2 7 9 7 1.09947
2 3 11 11 1.33826
2 2 12 12 1.39435
2 3 7 7 1.29072
2 7 8 7 0.931313
2 4 11 11 1.75456
2 10 11 11 0.963396
2 4 5 4 0.860365
2 6 10 10 0.873397
2 3 9 9 2.62693
2 9 10 9 1.05111
2 6 11 11 1.44296
2 3 8 8 1.3311
2 5 10 5 1.28255
2 2 10 10 1.59438
2 5 11 5 1.72289
2 2 6 6 1.67477
2 1 2 1 0.731052
2 4 10 10 1.48327
2 3 5 5 1.31509
2 10 12 10 1.58699
2 1 3 1 1.17142
2 1 5 1 0.682589
2 2 9 9 0.988082
2 3 6 6 1.22494
2 5 6 5 1.33161
2 2 4 4 0.921357
2 1 10 1 0.955975
2 11 12 11 1.5057
2 2 11 11 1.21126
2 8 9 9 3.02652
2 1 11 1 1.02676
2 2 3 3 2.11524
2 2 1 1 0.842366
2 3 1 1 0.746668
2 4 1 1 1.62713
2 5 1 1 0.634463
2 6 1 1 1.13154
2 7 1 1 0.986443
2 3 2 3 1.57072
2 4 2 4 0.803672
2 5 2 5 0.721942
2 6 2 6 1.77066
2 7 2 7 1.53909
